Genero,Edad,RangoEdad,EstadoCivil,Tienda,Categoria,Precio
Hombre,43,Adulto,Casado,Magdalena,Humanidad,190
Mujer,54,Adulto,Casado,Surquillo,Humanidad,80
Hombre,34,Adulto,Soltero,San Borja,Comics,226
Hombre,29,Joven,Soltero,Los Olivos,Literatura  Peruana,97.33
Hombre,59,Adulto,Soltero,Magdalena,Humanidad,119
Hombre,25,Joven,Casado,Los Olivos,Programación,144
Hombre,40,Adulto,Casado,Miraflores,Tecnologia,137
Mujer,27,Joven,Soltero,La Molina,Programación,504
Hombre,30,Joven,Casado,Miraflores,Historia,21
Hombre,51,Adulto,Soltero,Miraflores,Nutricion,102
Hombre,27,Joven,Casado,San Borja,Autoayuda,72
Hombre,55,Adulto,Soltero,La Molina,Historia,65.33
Hombre,40,Adulto,Casado,Magdalena,Historia,124
Mujer,23,Joven,Casado,Los Olivos,Autoayuda,92
Mujer,40,Adulto,Casado,La Molina,Literatura Universal,292
Hombre,35,Adulto,Soltero,Santiago de Surco,Nutricion,49.33
Hombre,21,Joven,Soltero,Centro de Lima,Literatura Universal,90.4
Mujer,45,Adulto,Soltero,Miraflores,Comics,61.33
Hombre,50,Adulto,Soltero,Los Olivos,Programación,92
Mujer,38,Adulto,Soltero,Chorrillos,Comics,228
Mujer,36,Adulto,Soltero,San Juan de Miraflores,Literatura  Peruana,89.33
Mujer,59,Adulto,Casado,Surquillo,Humanidad,192
Mujer,47,Adulto,Casado,San Isidro,Programación,138
Hombre,42,Adulto,Soltero,Miraflores,Literatura Universal,252
Hombre,30,Joven,Soltero,San Isidro,Programación,116
Hombre,31,Adulto,Casado,La Molina,Novelas,604
Hombre,46,Adulto,Soltero,Miraflores,Nutricion,218
Hombre,53,Adulto,Soltero,La Molina,Literatura  Peruana,122.4
Hombre,33,Adulto,Soltero,Surquillo,Humanidad,95.2
Mujer,33,Adulto,Casado,Magdalena,Historia,136
Mujer,24,Joven,Soltero,Centro de Lima,Comics,288
Hombre,24,Joven,Soltero,San Borja,Comics,128
Hombre,36,Adulto,Casado,Miraflores,Programación,40
Mujer,53,Adulto,Soltero,Centro de Lima,Literatura  Peruana,121.33
Hombre,42,Adulto,Soltero,Chorrillos,Literatura Universal,95.2
Mujer,23,Joven,Soltero,San Isidro,Nutricion,99.2
Mujer,49,Adulto,Casado,Jesus Maria,Literatura Universal,104
Mujer,27,Joven,Soltero,La Molina,Literatura  Peruana,68
Hombre,19,Joven,Casado,Magdalena,Historia,94
Hombre,58,Adulto,Casado,San Juan de Miraflores,Historia,45.33
Mujer,46,Adulto,Casado,San Juan de Miraflores,Literatura Universal,64
Mujer,50,Adulto,Soltero,Chorrillos,Academico,112
Mujer,29,Joven,Soltero,Chorrillos,Tecnologia,130.67
Mujer,37,Adulto,Soltero,San Borja,Nutricion,14
Mujer,41,Adulto,Soltero,Miraflores,Autoayuda,292
Mujer,23,Joven,Casado,San Juan de Miraflores,Literatura  Peruana,67
Mujer,49,Adulto,Casado,La Molina,Programación,272
Mujer,20,Joven,Soltero,San Juan de Miraflores,Tecnologia,340
Hombre,27,Joven,Casado,Surquillo,Literatura Universal,220
Hombre,19,Joven,Soltero,Centro de Lima,Comics,316
Mujer,56,Adulto,Casado,Magdalena,Tecnologia,19.2
Hombre,44,Adulto,Casado,Santiago de Surco,Autoayuda,286
Hombre,20,Joven,Casado,La Molina,Academico,66.4
Mujer,24,Joven,Casado,La Molina,Empresas,110
Mujer,35,Adulto,Casado,Magdalena,Nutricion,160
Hombre,45,Adulto,Soltero,Santiago de Surco,Tecnologia,32
Mujer,42,Adulto,Casado,Chorrillos,Historia,48
Mujer,29,Joven,Soltero,Jesus Maria,Autoayuda,126
Hombre,56,Adulto,Soltero,Magdalena,Programación,74.67
Hombre,59,Adulto,Casado,Chorrillos,Academico,38.67
Mujer,58,Adulto,Soltero,Santiago de Surco,Novelas,157
Hombre,38,Adulto,Casado,Santiago de Surco,Literatura  Peruana,45.6
Hombre,57,Adulto,Soltero,San Isidro,Tecnologia,86
Mujer,38,Adulto,Soltero,Centro de Lima,Academico,105.6
Hombre,38,Adulto,Casado,Surquillo,Academico,118
Hombre,26,Joven,Casado,Santiago de Surco,Comics,109.33
Mujer,35,Adulto,Casado,San Borja,Infantil,250
Hombre,34,Adulto,Soltero,Los Olivos,Literatura  Peruana,332
Hombre,18,Joven,Casado,Santiago de Surco,Literatura Universal,256
Mujer,41,Adulto,Casado,Chorrillos,Tecnologia,576
Hombre,28,Joven,Casado,La Molina,Comics,114.4
Mujer,25,Joven,Soltero,Centro de Lima,Literatura Universal,428
Mujer,50,Adulto,Casado,Surquillo,Nutricion,60
Mujer,52,Adulto,Casado,Santiago de Surco,Autoayuda,206.67
Hombre,36,Adulto,Soltero,Centro de Lima,Empresas,44.8
Hombre,59,Adulto,Casado,Chorrillos,Comics,108
Hombre,49,Adulto,Soltero,San Isidro,Historia,46
Mujer,36,Adulto,Casado,San Juan de Miraflores,Tecnologia,152
Hombre,41,Adulto,Casado,San Borja,Novelas,78.67
Hombre,45,Adulto,Casado,La Molina,Historia,314
Mujer,54,Adulto,Casado,Jesus Maria,Infantil,115
Mujer,21,Joven,Casado,La Molina,Autoayuda,143
Mujer,23,Joven,Soltero,Jesus Maria,Humanidad,72
Mujer,55,Adulto,Soltero,Los Olivos,Historia,124
Mujer,44,Adulto,Casado,Jesus Maria,Autoayuda,608
Hombre,43,Adulto,Soltero,Los Olivos,Humanidad,268
Mujer,27,Joven,Soltero,Magdalena,Autoayuda,88
Hombre,53,Adulto,Soltero,San Juan de Miraflores,Historia,102
Hombre,42,Adulto,Casado,San Juan de Miraflores,Comics,608
Mujer,20,Joven,Casado,Jesus Maria,Novelas,588
Mujer,32,Adulto,Soltero,Santiago de Surco,Tecnologia,170
Mujer,37,Adulto,Soltero,Surquillo,Tecnologia,228
Hombre,18,Joven,Casado,Los Olivos,Programación,9
Hombre,55,Adulto,Soltero,San Borja,Nutricion,176
Mujer,29,Joven,Soltero,Miraflores,Literatura  Peruana,272
Hombre,20,Joven,Casado,Miraflores,Literatura Universal,34
Hombre,60,Adulto,Soltero,San Borja,Academico,222
Hombre,23,Joven,Soltero,Los Olivos,Literatura  Peruana,588
Hombre,33,Adulto,Soltero,Magdalena,Programación,9
Hombre,46,Adulto,Casado,Centro de Lima,Comics,250
Mujer,38,Adulto,Soltero,Jesus Maria,Literatura Universal,356
Mujer,48,Adulto,Soltero,Jesus Maria,Infantil,92
Mujer,54,Adulto,Soltero,La Molina,Literatura Universal,218
Hombre,49,Adulto,Casado,Jesus Maria,Tecnologia,151
Mujer,36,Adulto,Casado,Santiago de Surco,Academico,107.2
Mujer,50,Adulto,Soltero,San Borja,Empresas,63
Mujer,58,Adulto,Soltero,La Molina,Autoayuda,412
Hombre,46,Adulto,Casado,Jesus Maria,Literatura  Peruana,59
Mujer,18,Joven,Soltero,San Borja,Empresas,32
Hombre,38,Adulto,Soltero,Los Olivos,Literatura Universal,74
Mujer,34,Adulto,Soltero,Magdalena,Infantil,61.33
Hombre,34,Adulto,Casado,La Molina,Nutricion,66.4
Mujer,29,Joven,Soltero,San Isidro,Academico,196
Mujer,33,Adulto,Casado,Surquillo,Infantil,274
Hombre,23,Joven,Soltero,La Molina,Academico,106
Hombre,59,Adulto,Casado,Chorrillos,Novelas,444
Hombre,57,Adulto,Soltero,Los Olivos,Nutricion,44
Hombre,48,Adulto,Soltero,Magdalena,Autoayuda,63
Hombre,51,Adulto,Soltero,Santiago de Surco,Tecnologia,41.6
Mujer,58,Adulto,Casado,Miraflores,Humanidad,146.67
Hombre,56,Adulto,Casado,San Isidro,Programación,104
Mujer,27,Joven,Soltero,La Molina,Literatura  Peruana,56
Hombre,43,Adulto,Soltero,La Molina,Novelas,24
Hombre,54,Adulto,Soltero,Chorrillos,Infantil,266
Hombre,31,Adulto,Soltero,San Isidro,Infantil,240
Hombre,34,Adulto,Soltero,San Isidro,Academico,74.67
Hombre,30,Joven,Soltero,Surquillo,Infantil,296
Hombre,59,Adulto,Soltero,Magdalena,Nutricion,75.2
Mujer,26,Joven,Casado,San Borja,Autoayuda,38.4
Mujer,51,Adulto,Soltero,Los Olivos,Nutricion,32
Mujer,46,Adulto,Soltero,Surquillo,Novelas,78
Mujer,19,Joven,Soltero,Miraflores,Literatura Universal,96
Mujer,58,Adulto,Casado,Centro de Lima,Literatura Universal,456
Hombre,37,Adulto,Soltero,Miraflores,Literatura Universal,376
Hombre,46,Adulto,Casado,Los Olivos,Novelas,26.67
Mujer,56,Adulto,Soltero,San Juan de Miraflores,Literatura Universal,56
Mujer,57,Adulto,Casado,La Molina,Historia,58.4
Hombre,58,Adulto,Casado,Chorrillos,Literatura Universal,160
Mujer,29,Joven,Soltero,Santiago de Surco,Empresas,14.67
Hombre,20,Joven,Casado,Santiago de Surco,Humanidad,78.67
Mujer,18,Joven,Casado,Chorrillos,Nutricion,96
Mujer,37,Adulto,Soltero,San Borja,Novelas,160
Mujer,29,Joven,Soltero,Los Olivos,Infantil,532
Mujer,58,Adulto,Soltero,Santiago de Surco,Nutricion,20
Mujer,34,Adulto,Soltero,San Borja,Tecnologia,9.6
Mujer,47,Adulto,Casado,San Juan de Miraflores,Empresas,98
Mujer,57,Adulto,Casado,Santiago de Surco,Programación,628
Mujer,45,Adulto,Soltero,Santiago de Surco,Autoayuda,98.4
Mujer,35,Adulto,Casado,San Borja,Autoayuda,61.33
Mujer,26,Joven,Casado,Surquillo,Literatura Universal,74.67
Mujer,36,Adulto,Soltero,Miraflores,Tecnologia,30
Hombre,35,Adulto,Soltero,Miraflores,Novelas,23.2
Mujer,44,Adulto,Soltero,Centro de Lima,Tecnologia,28
Hombre,47,Adulto,Casado,La Molina,Academico,95.2
Mujer,39,Adulto,Soltero,San Juan de Miraflores,Literatura  Peruana,580
Mujer,51,Adulto,Casado,Surquillo,Literatura  Peruana,44
Hombre,57,Adulto,Casado,San Borja,Tecnologia,40
Mujer,47,Adulto,Soltero,San Juan de Miraflores,Academico,166
Mujer,58,Adulto,Casado,Centro de Lima,Nutricion,197.33
Mujer,33,Adulto,Soltero,San Isidro,Infantil,193.33
Mujer,42,Adulto,Soltero,La Molina,Empresas,122
Mujer,29,Joven,Soltero,San Borja,Literatura Universal,123
Hombre,28,Joven,Casado,San Borja,Empresas,122.4
Mujer,45,Adulto,Soltero,Magdalena,Empresas,212
Hombre,59,Adulto,Casado,Santiago de Surco,Comics,82.4
Hombre,43,Adulto,Soltero,Magdalena,Novelas,174
Mujer,55,Adulto,Soltero,Los Olivos,Programación,556
Mujer,59,Adulto,Casado,San Borja,Academico,170
Mujer,25,Joven,Casado,San Isidro,Academico,50
Mujer,28,Joven,Casado,Magdalena,Tecnologia,28
Mujer,35,Adulto,Soltero,San Isidro,Infantil,160
Hombre,57,Adulto,Casado,Santiago de Surco,Nutricion,132
Mujer,41,Adulto,Soltero,Centro de Lima,Literatura Universal,13
Mujer,43,Adulto,Casado,Jesus Maria,Programación,79.2
Hombre,26,Joven,Soltero,Centro de Lima,Comics,9.6
Mujer,52,Adulto,Soltero,La Molina,Nutricion,26.4
Hombre,40,Adulto,Soltero,San Juan de Miraflores,Programación,300
Hombre,32,Adulto,Casado,Magdalena,Tecnologia,124
Mujer,33,Adulto,Casado,Los Olivos,Comics,96
Hombre,38,Adulto,Soltero,La Molina,Empresas,240
Mujer,35,Adulto,Soltero,Jesus Maria,Literatura Universal,65.6
Mujer,52,Adulto,Soltero,San Juan de Miraflores,Novelas,34.4
Mujer,30,Joven,Casado,Miraflores,Literatura Universal,176
Mujer,26,Joven,Casado,San Borja,Tecnologia,61.33
Hombre,60,Adulto,Casado,San Juan de Miraflores,Literatura Universal,13.33
Hombre,60,Adulto,Soltero,La Molina,Empresas,306
Mujer,52,Adulto,Soltero,Jesus Maria,Autoayuda,78
Mujer,19,Joven,Soltero,Jesus Maria,Nutricion,258
Hombre,48,Adulto,Soltero,San Isidro,Tecnologia,372
Mujer,46,Adulto,Soltero,San Juan de Miraflores,Historia,140
Mujer,56,Adulto,Casado,San Isidro,Academico,109
Hombre,49,Adulto,Casado,San Juan de Miraflores,Comics,480
Hombre,49,Adulto,Soltero,Los Olivos,Empresas,130.67
Mujer,35,Adulto,Casado,Surquillo,Tecnologia,284
Mujer,28,Joven,Soltero,Centro de Lima,Literatura Universal,120
Mujer,41,Adulto,Casado,Surquillo,Autoayuda,302
Hombre,29,Joven,Soltero,Chorrillos,Novelas,106
Mujer,24,Joven,Soltero,Miraflores,Empresas,91
Mujer,22,Joven,Soltero,Surquillo,Empresas,56
Mujer,29,Joven,Casado,San Juan de Miraflores,Novelas,80
Mujer,49,Adulto,Soltero,San Juan de Miraflores,Tecnologia,79.2
Mujer,35,Adulto,Soltero,Miraflores,Comics,420
Mujer,31,Adulto,Soltero,Miraflores,Comics,340
Hombre,37,Adulto,Casado,Los Olivos,Humanidad,52
Mujer,37,Adulto,Casado,Los Olivos,Infantil,48
Mujer,25,Joven,Casado,Los Olivos,Infantil,154
Mujer,49,Adulto,Casado,Miraflores,Nutricion,76
Hombre,47,Adulto,Casado,San Juan de Miraflores,Academico,131
Hombre,57,Adulto,Casado,Miraflores,Novelas,404
Mujer,58,Adulto,Soltero,Los Olivos,Comics,132
Hombre,18,Joven,Casado,San Juan de Miraflores,Comics,40
Hombre,22,Joven,Casado,Jesus Maria,Academico,103
Hombre,53,Adulto,Casado,Centro de Lima,Empresas,516
Hombre,54,Adulto,Casado,Santiago de Surco,Comics,524
Hombre,23,Joven,Casado,San Borja,Historia,56
Mujer,42,Adulto,Casado,Jesus Maria,Literatura Universal,164
Hombre,58,Adulto,Soltero,San Borja,Literatura  Peruana,61.6
Mujer,37,Adulto,Soltero,San Isidro,Humanidad,64
Hombre,33,Adulto,Casado,Miraflores,Literatura Universal,73
Mujer,55,Adulto,Casado,La Molina,Academico,404
Mujer,22,Joven,Soltero,Miraflores,Programación,11.2
Mujer,52,Adulto,Soltero,Los Olivos,Empresas,125.6
Hombre,36,Adulto,Soltero,Los Olivos,Comics,49.6
Hombre,30,Joven,Soltero,Chorrillos,Autoayuda,77.33
Mujer,45,Adulto,Soltero,Centro de Lima,Literatura  Peruana,580
Hombre,52,Adulto,Soltero,San Borja,Novelas,208
Mujer,20,Joven,Casado,La Molina,Empresas,105.33
Mujer,24,Joven,Casado,La Molina,Programación,146
Hombre,49,Adulto,Casado,Magdalena,Comics,21
Hombre,45,Adulto,Casado,Chorrillos,Comics,104
Hombre,55,Adulto,Casado,Los Olivos,Comics,78.67
Hombre,57,Adulto,Casado,Surquillo,Autoayuda,168
Hombre,42,Adulto,Soltero,Surquillo,Autoayuda,596
Mujer,43,Adulto,Soltero,Magdalena,Historia,260
Hombre,39,Adulto,Casado,Miraflores,Literatura Universal,39.2
Mujer,59,Adulto,Soltero,Centro de Lima,Programación,240
Mujer,45,Adulto,Soltero,Chorrillos,Literatura  Peruana,157
Hombre,32,Adulto,Soltero,Magdalena,Literatura  Peruana,24
Mujer,25,Joven,Soltero,Los Olivos,Nutricion,20.8
Mujer,47,Adulto,Soltero,San Borja,Infantil,266
Hombre,18,Joven,Soltero,Jesus Maria,Infantil,193.33
Hombre,30,Joven,Casado,La Molina,Novelas,21.6
Mujer,30,Joven,Casado,Los Olivos,Literatura  Peruana,108
Mujer,59,Adulto,Casado,San Juan de Miraflores,Programación,456
Mujer,24,Joven,Casado,San Isidro,Tecnologia,154
Hombre,26,Joven,Soltero,Miraflores,Humanidad,112
Hombre,39,Adulto,Soltero,Magdalena,Tecnologia,56
Hombre,47,Adulto,Soltero,San Isidro,Autoayuda,604
Mujer,22,Joven,Soltero,San Borja,Autoayuda,45.6
Hombre,48,Adulto,Casado,San Borja,Literatura  Peruana,156
Hombre,55,Adulto,Soltero,San Juan de Miraflores,Infantil,24
Mujer,18,Joven,Soltero,Centro de Lima,Academico,608
Hombre,22,Joven,Casado,San Borja,Historia,100.8
Mujer,47,Adulto,Soltero,Santiago de Surco,Academico,60.8
Hombre,43,Adulto,Soltero,Centro de Lima,Comics,95.2
Hombre,37,Adulto,Casado,San Isidro,Programación,56
Mujer,26,Joven,Soltero,Miraflores,Novelas,524
Hombre,56,Adulto,Casado,La Molina,Academico,122
Hombre,24,Joven,Casado,Jesus Maria,Literatura Universal,60
Mujer,46,Adulto,Casado,San Isidro,Empresas,70
Hombre,33,Adulto,Casado,Miraflores,Humanidad,142.67
Hombre,26,Joven,Soltero,San Borja,Autoayuda,64
Hombre,39,Adulto,Casado,La Molina,Academico,88.8
Hombre,28,Joven,Soltero,Jesus Maria,Literatura  Peruana,72
Hombre,44,Adulto,Casado,Miraflores,Infantil,126.4
Hombre,46,Adulto,Casado,Los Olivos,Literatura Universal,70
Hombre,40,Adulto,Casado,San Isidro,Autoayuda,125.6
Mujer,39,Adulto,Soltero,La Molina,Novelas,596
Mujer,23,Joven,Soltero,La Molina,Historia,148
Mujer,60,Adulto,Soltero,Magdalena,Novelas,49
Mujer,55,Adulto,Soltero,Chorrillos,Academico,28
Mujer,33,Adulto,Casado,San Borja,Novelas,528
Hombre,21,Joven,Soltero,San Juan de Miraflores,Tecnologia,162.67
Mujer,57,Adulto,Casado,Los Olivos,Literatura Universal,112
Hombre,42,Adulto,Soltero,Magdalena,Humanidad,316
Mujer,30,Joven,Casado,San Juan de Miraflores,Nutricion,39
Hombre,21,Joven,Casado,San Isidro,Literatura  Peruana,286
Hombre,57,Adulto,Soltero,Santiago de Surco,Nutricion,37.6
Mujer,27,Joven,Soltero,San Juan de Miraflores,Humanidad,78
Hombre,20,Joven,Soltero,Los Olivos,Humanidad,143
Hombre,33,Adulto,Soltero,Miraflores,Autoayuda,172
Hombre,45,Adulto,Casado,San Borja,Literatura  Peruana,262
Hombre,30,Joven,Casado,San Juan de Miraflores,Comics,290
Hombre,60,Adulto,Soltero,Miraflores,Tecnologia,92
Hombre,52,Adulto,Casado,La Molina,Historia,188
Hombre,44,Adulto,Soltero,Los Olivos,Novelas,174.67
Mujer,44,Adulto,Casado,La Molina,Tecnologia,298
Mujer,32,Adulto,Soltero,Los Olivos,Autoayuda,65.33
Hombre,51,Adulto,Casado,Los Olivos,Programación,156
Hombre,53,Adulto,Casado,Miraflores,Infantil,34
Hombre,42,Adulto,Soltero,San Isidro,Comics,125.33
Hombre,20,Joven,Casado,Jesus Maria,Infantil,110.67
Hombre,38,Adulto,Casado,Miraflores,Programación,22
Hombre,35,Adulto,Casado,Santiago de Surco,Empresas,20
Mujer,18,Joven,Soltero,Surquillo,Historia,28
Mujer,48,Adulto,Soltero,Magdalena,Academico,16
Mujer,32,Adulto,Casado,San Borja,Literatura Universal,376
Hombre,30,Joven,Soltero,La Molina,Comics,140
Hombre,29,Joven,Casado,Centro de Lima,Comics,125.6
Mujer,36,Adulto,Soltero,La Molina,Empresas,54.67
Mujer,30,Joven,Soltero,Chorrillos,Novelas,50.67
Mujer,43,Adulto,Soltero,San Borja,Nutricion,80
Mujer,27,Joven,Soltero,Chorrillos,Literatura Universal,148
Mujer,38,Adulto,Casado,Surquillo,Tecnologia,172
Hombre,36,Adulto,Casado,Los Olivos,Programación,82.4
Mujer,20,Joven,Soltero,Jesus Maria,Autoayuda,64
Hombre,37,Adulto,Casado,Los Olivos,Academico,189.33
Mujer,34,Adulto,Casado,San Isidro,Programación,69.6
Mujer,32,Adulto,Casado,Jesus Maria,Historia,624
Hombre,56,Adulto,Soltero,Centro de Lima,Comics,82.4
Mujer,46,Adulto,Casado,San Juan de Miraflores,Empresas,292
Mujer,28,Joven,Casado,San Borja,Literatura  Peruana,244
Mujer,36,Adulto,Casado,San Borja,Literatura  Peruana,53.33
Mujer,24,Joven,Soltero,Los Olivos,Novelas,64
Mujer,38,Adulto,Casado,La Molina,Novelas,42
Mujer,43,Adulto,Casado,Miraflores,Humanidad,162
Hombre,38,Adulto,Soltero,Magdalena,Literatura  Peruana,157
Hombre,53,Adulto,Casado,Centro de Lima,Novelas,56
Mujer,48,Adulto,Soltero,Surquillo,Academico,132
Mujer,20,Joven,Casado,San Isidro,Tecnologia,31
Hombre,53,Adulto,Casado,Surquillo,Humanidad,104
Hombre,34,Adulto,Casado,Jesus Maria,Programación,88
Hombre,58,Adulto,Casado,San Isidro,Infantil,78.67
Mujer,41,Adulto,Soltero,Centro de Lima,Humanidad,256
Hombre,38,Adulto,Soltero,Jesus Maria,Infantil,43
Mujer,53,Adulto,Casado,San Juan de Miraflores,Humanidad,85.33
Hombre,30,Joven,Soltero,Centro de Lima,Infantil,314
Mujer,37,Adulto,Soltero,San Borja,Tecnologia,56
Hombre,27,Joven,Casado,San Isidro,Historia,104
Hombre,56,Adulto,Soltero,San Borja,Historia,110.4
Mujer,56,Adulto,Soltero,Jesus Maria,Novelas,84
Hombre,60,Adulto,Soltero,San Isidro,Nutricion,228
Hombre,32,Adulto,Casado,San Borja,Historia,44
Hombre,47,Adulto,Casado,Los Olivos,Comics,516
Mujer,31,Adulto,Casado,San Borja,Academico,123
Mujer,50,Adulto,Soltero,Chorrillos,Academico,86.67
Hombre,18,Joven,Casado,Chorrillos,Tecnologia,25
Mujer,40,Adulto,Soltero,La Molina,Literatura  Peruana,416
Hombre,26,Joven,Soltero,Santiago de Surco,Programación,56
Mujer,41,Adulto,Casado,San Juan de Miraflores,Academico,108
Mujer,31,Adulto,Casado,Surquillo,Infantil,8
Hombre,49,Adulto,Casado,Magdalena,Literatura  Peruana,480
Mujer,19,Joven,Soltero,Centro de Lima,Humanidad,136
Hombre,58,Adulto,Casado,Magdalena,Tecnologia,620
Mujer,57,Adulto,Soltero,La Molina,Tecnologia,71.2
Mujer,33,Adulto,Soltero,San Juan de Miraflores,Historia,260
Mujer,23,Joven,Soltero,Surquillo,Nutricion,136
Hombre,35,Adulto,Casado,Centro de Lima,Infantil,112
Mujer,22,Joven,Casado,Santiago de Surco,Comics,232
Mujer,49,Adulto,Soltero,Jesus Maria,Empresas,40.8
Mujer,59,Adulto,Casado,Surquillo,Literatura Universal,105.6
Hombre,19,Joven,Casado,Surquillo,Novelas,432
Mujer,44,Adulto,Soltero,Surquillo,Tecnologia,520
Mujer,45,Adulto,Casado,Jesus Maria,Programación,176
Mujer,52,Adulto,Casado,Magdalena,Nutricion,188
Hombre,41,Adulto,Casado,San Juan de Miraflores,Nutricion,47
Hombre,29,Joven,Casado,Santiago de Surco,Literatura Universal,132
Mujer,24,Joven,Soltero,Surquillo,Empresas,77
Hombre,39,Adulto,Soltero,Santiago de Surco,Tecnologia,106
Mujer,19,Joven,Soltero,Los Olivos,Infantil,132
Hombre,22,Joven,Casado,La Molina,Humanidad,420
Hombre,28,Joven,Soltero,Los Olivos,Infantil,238
Hombre,59,Adulto,Soltero,La Molina,Academico,68
Hombre,46,Adulto,Soltero,San Juan de Miraflores,Historia,170.67
Hombre,51,Adulto,Soltero,San Isidro,Historia,24
Hombre,54,Adulto,Soltero,Los Olivos,Comics,188
Mujer,27,Joven,Soltero,La Molina,Academico,60
Hombre,58,Adulto,Casado,Santiago de Surco,Empresas,166.67
Hombre,29,Joven,Casado,Jesus Maria,Autoayuda,28
Mujer,54,Adulto,Soltero,Chorrillos,Empresas,13
Hombre,55,Adulto,Casado,San Borja,Empresas,160
Hombre,29,Joven,Soltero,Surquillo,Empresas,166.67
Mujer,34,Adulto,Casado,Magdalena,Comics,206.67
Mujer,21,Joven,Soltero,Magdalena,Literatura  Peruana,40
Hombre,53,Adulto,Casado,La Molina,Comics,220
Hombre,37,Adulto,Casado,La Molina,Historia,310
Mujer,22,Joven,Soltero,San Isidro,Historia,85.6
Hombre,38,Adulto,Casado,La Molina,Infantil,129
Mujer,25,Joven,Soltero,Jesus Maria,Historia,176
Mujer,59,Adulto,Soltero,La Molina,Historia,234
Mujer,52,Adulto,Soltero,Surquillo,Infantil,52.8
Hombre,43,Adulto,Soltero,San Borja,Comics,116
Mujer,37,Adulto,Casado,San Isidro,Comics,182
Hombre,33,Adulto,Soltero,Magdalena,Comics,188
Hombre,52,Adulto,Casado,Los Olivos,Nutricion,120
Hombre,33,Adulto,Soltero,San Borja,Autoayuda,68
Hombre,51,Adulto,Soltero,San Isidro,Academico,159
Mujer,58,Adulto,Soltero,Magdalena,Autoayuda,33.33
Mujer,46,Adulto,Casado,San Borja,Tecnologia,52
Mujer,20,Joven,Casado,Surquillo,Literatura Universal,36
Hombre,33,Adulto,Soltero,Santiago de Surco,Literatura Universal,12
Hombre,57,Adulto,Casado,La Molina,Nutricion,336
Mujer,40,Adulto,Soltero,San Isidro,Tecnologia,134
Mujer,42,Adulto,Soltero,Centro de Lima,Tecnologia,150
Mujer,55,Adulto,Soltero,Magdalena,Autoayuda,376
Hombre,52,Adulto,Casado,Surquillo,Comics,110.67
Mujer,53,Adulto,Soltero,San Borja,Empresas,47
Hombre,38,Adulto,Casado,Chorrillos,Literatura Universal,254
Mujer,26,Joven,Soltero,Chorrillos,Empresas,79.2
Hombre,25,Joven,Soltero,Los Olivos,Literatura  Peruana,172
Mujer,56,Adulto,Casado,Chorrillos,Autoayuda,282
Hombre,41,Adulto,Soltero,San Juan de Miraflores,Literatura Universal,124
Hombre,18,Joven,Casado,Miraflores,Nutricion,432
Mujer,42,Adulto,Soltero,Centro de Lima,Novelas,12
Hombre,48,Adulto,Soltero,Jesus Maria,Tecnologia,61.33
Mujer,46,Adulto,Soltero,Miraflores,Nutricion,146
Mujer,50,Adulto,Casado,San Juan de Miraflores,Novelas,516
Hombre,41,Adulto,Soltero,Miraflores,Historia,56
Mujer,50,Adulto,Soltero,Centro de Lima,Academico,636
Hombre,58,Adulto,Casado,Los Olivos,Tecnologia,12
Hombre,27,Joven,Casado,Centro de Lima,Empresas,89
Hombre,43,Adulto,Soltero,San Isidro,Empresas,468
Mujer,21,Joven,Soltero,San Borja,Tecnologia,336
Mujer,23,Joven,Casado,Surquillo,Tecnologia,24
Mujer,48,Adulto,Casado,San Juan de Miraflores,Humanidad,256
Mujer,40,Adulto,Soltero,Los Olivos,Literatura Universal,18
Mujer,37,Adulto,Soltero,Jesus Maria,Humanidad,52
Mujer,23,Joven,Soltero,San Borja,Comics,160
Hombre,22,Joven,Soltero,Chorrillos,Infantil,120
Hombre,22,Joven,Casado,Magdalena,Autoayuda,159
Hombre,18,Joven,Casado,Los Olivos,Literatura Universal,37
Mujer,28,Joven,Soltero,Centro de Lima,Tecnologia,123
Hombre,54,Adulto,Casado,San Isidro,Academico,120
Hombre,24,Joven,Casado,Centro de Lima,Empresas,628
Mujer,44,Adulto,Soltero,Santiago de Surco,Infantil,53.33
Mujer,51,Adulto,Soltero,Centro de Lima,Tecnologia,109.6
Mujer,37,Adulto,Soltero,Chorrillos,Infantil,276
Mujer,47,Adulto,Casado,San Isidro,Empresas,240
Mujer,42,Adulto,Casado,Surquillo,Academico,160
Hombre,41,Adulto,Casado,San Isidro,Programación,262
Hombre,47,Adulto,Casado,Los Olivos,Tecnologia,79
Mujer,36,Adulto,Soltero,San Borja,Novelas,105
Hombre,48,Adulto,Casado,San Isidro,Literatura Universal,110.67
Mujer,51,Adulto,Casado,San Isidro,Autoayuda,146.67
Hombre,30,Joven,Casado,La Molina,Literatura  Peruana,58.4
Hombre,53,Adulto,Casado,Centro de Lima,Novelas,58
Mujer,26,Joven,Casado,San Borja,Tecnologia,38.4
Mujer,43,Adulto,Casado,La Molina,Comics,148
Hombre,59,Adulto,Soltero,Magdalena,Comics,143
Mujer,40,Adulto,Soltero,Centro de Lima,Infantil,140
Mujer,42,Adulto,Soltero,San Juan de Miraflores,Novelas,80.8
Mujer,51,Adulto,Soltero,San Borja,Comics,145
Mujer,59,Adulto,Casado,Miraflores,Academico,156
Hombre,60,Adulto,Soltero,San Isidro,Literatura Universal,210
